DAY;HAPPINESS;ANGER;SADNESS;FEAR;DISGUST;NEUTRAL;UNCLASSIFIED
2015-07-21;15;5;0;2;0;18;
2015-07-22;17;5;3;10;0;5;
2015-07-23;22;3;0;2;0;13;
2015-07-24;7;2;0;4;0;7;
2015-07-25;18;6;1;7;1;7;
2015-07-26;19;2;0;8;2;9;
2015-07-27;26;3;1;2;0;8;
2015-07-28;11;1;1;0;0;5;
2015-07-29;10;0;2;0;0;6;
2015-07-30;15;2;2;4;0;17;
2015-07-31;22;3;2;1;0;12;
2015-08-01;19;5;2;7;0;7;
2015-08-02;18;1;3;4;0;14;
2015-08-03;16;1;1;7;1;14;
2015-08-04;19;7;2;3;1;8;
2015-08-05;19;2;2;2;1;13;
2015-08-06;19;3;1;2;0;15;
2015-08-07;23;1;1;5;0;10;
2015-08-08;19;6;0;6;1;8;
2015-08-09;17;1;1;5;0;15;
2015-08-10;23;1;1;1;2;12;
2015-08-11;15;6;1;3;0;15;
2015-08-12;10;2;0;1;0;7;
2015-08-13;21;4;2;3;1;9;
2015-08-14;18;2;4;6;0;10;
2015-08-15;19;3;3;4;0;10;
2015-08-16;18;3;1;4;1;12;
2015-08-17;11;0;0;0;1;7;
2015-08-18;15;2;3;6;0;14;
2015-08-19;20;4;0;7;2;7;
2015-08-20;21;3;2;2;1;11;
2015-08-21;21;7;0;4;0;8;
2015-08-22;11;1;0;2;0;6;
2015-08-23;16;1;1;5;1;16;
2015-08-24;12;3;2;6;1;16;
2015-08-25;18;1;1;7;2;11;
2015-08-26;15;3;2;4;1;15;
2015-08-27;15;2;1;6;1;15;
2015-08-28;18;3;0;1;0;18;
2015-08-29;20;4;3;1;1;11;
2015-08-30;22;4;2;4;0;8;
2015-08-31;19;1;2;7;0;11;
2015-09-01;8;0;2;4;0;6;
2015-09-02;20;3;1;2;0;13;
2015-09-03;18;1;4;3;1;13;
2015-09-04;4;1;1;2;0;9;
2015-09-05;15;2;0;5;1;17;
2015-09-06;18;2;2;2;0;16;
2015-09-07;23;2;1;4;1;9;
2015-09-08;18;2;3;4;0;13;
2015-09-09;20;2;1;5;0;12;
2015-09-10;24;3;1;2;0;10;
2015-09-11;19;2;0;6;1;12;
2015-09-12;21;3;0;2;0;14;
2015-09-13;9;1;2;3;0;5;
2015-09-14;24;4;1;0;0;11;
2015-09-15;19;2;2;6;1;10;
2015-09-16;16;3;1;6;2;12;
2015-09-17;15;1;3;1;0;20;
2015-09-18;15;1;3;6;0;14;
2015-09-19;19;3;2;3;1;11;
2015-09-20;15;3;2;5;0;15;
2015-09-21;19;4;4;5;0;8;
2015-09-22;14;3;2;4;0;17;
