DAY;HAPPINESS;ANGER;SADNESS;FEAR;DISGUST;UNCLASSIFIED
2015-08-21;9;0;0;0;1;6;
2015-08-22;27;2;1;2;0;8;
2015-08-23;29;3;1;3;0;4;
2015-08-24;26;1;0;1;0;12;
2015-08-25;14;0;1;1;0;4;
2015-08-26;21;1;1;6;1;10;
2015-08-27;18;3;0;4;1;14;
2015-08-28;23;2;0;1;1;13;
2015-08-29;25;4;0;3;1;7;
2015-08-30;21;1;1;6;0;11;
2015-08-31;19;6;1;2;0;12;
2015-09-01;25;0;1;2;0;12;
2015-09-02;17;5;1;2;2;13;
2015-09-03;18;5;0;4;2;11;
2015-09-04;22;1;3;3;1;10;
2015-09-05;8;2;1;0;0;9;
2015-09-06;21;2;3;3;0;11;
2015-09-07;20;1;2;4;0;13;
2015-09-08;22;4;0;2;1;11;
2015-09-09;21;3;2;5;2;7;
2015-09-10;20;3;0;1;0;16;
2015-09-11;23;1;0;2;2;12;
2015-09-12;25;4;0;2;0;9;
2015-09-13;21;0;2;4;1;12;
2015-09-14;17;3;1;6;0;13;
2015-09-15;20;0;1;5;2;12;
2015-09-16;17;3;0;3;0;17;
2015-09-17;24;2;2;4;0;8;
2015-09-18;19;2;2;3;3;11;
2015-09-19;16;1;0;3;1;19;
2015-09-20;17;0;2;5;2;14;
2015-09-21;18;3;3;5;0;11;
2015-09-22;19;2;0;4;0;15;
2015-09-23;17;1;1;4;0;17;
2015-09-24;15;4;1;5;0;15;
2015-09-25;16;1;3;4;0;16;
2015-09-26;21;1;0;4;1;13;
2015-09-27;20;4;2;4;0;10;
2015-09-28;18;3;2;1;0;16;
2015-09-29;22;4;1;2;1;10;
2015-09-30;23;2;0;3;0;12;
2015-10-01;18;2;0;1;1;18;
2015-10-02;21;3;1;2;0;13;
2015-10-03;20;4;0;6;1;9;
2015-10-04;10;0;1;0;0;9;
2015-10-05;21;0;1;7;1;10;
2015-10-06;21;2;1;3;1;12;
2015-10-07;20;1;1;3;0;15;
2015-10-08;23;6;1;6;1;3;
2015-10-09;21;4;0;3;0;12;
2015-10-10;17;5;3;5;2;8;
2015-10-11;24;1;2;2;1;10;
2015-10-12;21;3;1;4;2;9;
2015-10-13;18;3;6;2;0;11;
2015-10-14;16;2;1;5;0;16;
2015-10-15;24;3;1;4;0;8;
2015-10-16;18;5;2;5;0;10;
2015-10-17;15;3;2;8;0;12;
2015-10-18;16;4;3;6;1;10;
2015-10-19;17;4;1;5;1;12;
2015-10-20;19;6;0;2;0;13;
2015-10-21;21;3;0;4;2;10;
2015-10-22;21;2;4;1;1;11;
2015-10-23;22;0;1;3;0;14;
2015-10-24;10;0;0;1;0;9;
2015-10-25;22;1;1;2;0;14;
2015-10-26;20;2;1;4;2;11;
2015-10-27;9;1;1;1;0;7;
2015-10-28;27;2;1;1;1;8;
2015-10-29;10;2;1;1;0;5;
2015-10-30;17;6;0;1;1;15;
2015-10-31;25;2;1;1;0;11;
2015-11-01;12;1;0;2;0;4;
2015-11-02;22;7;2;4;0;5;
2015-11-03;20;3;0;6;0;11;
2015-11-04;17;2;3;0;0;18;
2015-11-05;21;3;1;3;0;12;
2015-11-06;22;2;1;2;0;13;
2015-11-07;21;5;0;5;0;9;
2015-11-08;21;4;0;5;0;10;
2015-11-09;14;6;2;4;0;14;
2015-11-10;25;2;2;4;0;7;
2015-11-11;27;4;1;2;2;4;
2015-11-12;14;1;0;5;0;20;
2015-11-13;21;4;3;5;0;7;
2015-11-14;11;2;1;2;0;4;
2015-11-15;20;5;1;7;0;7;
2015-11-16;14;5;4;5;1;11;
2015-11-17;23;1;1;1;0;14;
2015-11-18;25;4;2;3;1;5;
2015-11-19;23;1;0;6;1;9;
2015-11-20;19;2;1;6;2;10;
2015-11-21;21;3;1;6;0;9;
2015-11-22;25;3;0;6;0;6;
2015-11-23;17;2;0;6;1;14;
2015-11-24;21;2;2;2;1;12;
2015-11-25;21;4;0;3;0;12;
2015-11-26;27;2;1;3;2;5;
2015-11-27;20;4;2;5;1;8;
2015-11-28;20;4;2;4;0;10;
2015-11-29;21;0;3;3;0;13;
2015-11-30;21;2;0;7;1;9;
2015-12-01;21;4;2;2;0;11;
2015-12-02;19;4;2;4;0;11;
2015-12-03;23;2;1;3;0;11;
2015-12-04;20;2;3;7;0;8;
2015-12-05;18;2;4;4;0;12;
2015-12-06;21;4;0;9;0;6;
2015-12-07;21;6;1;3;1;8;
2015-12-08;22;3;1;2;0;12;
2015-12-09;16;2;2;4;1;15;
2015-12-10;21;5;2;4;0;8;
2015-12-11;21;1;2;7;1;8;
2015-12-12;22;1;1;3;2;11;
2015-12-13;22;2;1;6;1;8;
2015-12-14;13;2;2;3;1;19;
2015-12-15;19;2;1;6;0;12;
2015-12-16;16;8;1;2;0;13;
2015-12-17;16;3;2;2;0;17;
2015-12-18;19;3;2;2;1;13;
2015-12-19;15;2;1;9;1;12;
2015-12-20;16;3;1;4;0;16;
2015-12-21;23;1;1;2;1;12;
2015-12-22;25;4;0;1;0;10;
2015-12-23;22;4;1;3;0;10;
2015-12-24;25;0;0;3;0;12;
2015-12-25;22;3;1;4;0;10;
2015-12-26;19;3;3;3;0;12;
2015-12-27;18;3;1;4;0;14;
2015-12-28;17;3;2;10;0;8;
2015-12-29;20;1;1;5;1;12;
2015-12-30;15;4;3;5;1;12;
2015-12-31;13;3;1;5;0;18;
2016-01-01;15;9;2;2;1;11;
2016-01-02;24;1;3;3;0;9;
2016-01-03;21;4;2;6;0;7;
2016-01-04;19;5;2;3;1;10;
2016-01-05;19;4;6;2;0;9;
2016-01-06;21;1;0;1;1;16;
2016-01-07;28;1;0;5;0;6;
2016-01-08;11;0;2;6;0;21;
2016-01-09;17;4;0;5;0;14;
2016-01-10;17;4;0;4;1;14;
2016-01-11;14;7;3;3;0;13;
2016-01-12;23;3;1;3;0;10;
2016-01-13;17;1;1;5;0;16;
2016-01-14;19;2;2;4;1;12;
2016-01-15;21;4;2;1;0;12;
2016-01-16;14;1;1;8;0;16;
2016-01-17;12;6;3;4;1;14;
2016-01-18;21;3;1;4;0;11;
2016-01-19;21;2;0;2;1;14;
2016-01-20;11;7;1;9;1;11;
