DAY;HAPPINESS;ANGER;SADNESS;FEAR;DISGUST;UNCLASSIFIED
2015-07-21;9;1;0;2;0;7;
2015-07-22;3;0;0;1;0;3;
2015-07-23;4;0;0;1;0;8;
2015-07-24;2;0;0;0;0;1;
2015-07-25;17;1;0;5;0;11;
2015-07-26;9;1;1;2;0;5;
2015-07-27;4;1;1;0;0;2;
2015-07-28;6;1;0;3;0;6;
2015-07-29;3;1;0;4;0;1;
2015-07-30;1;0;0;1;0;0;
2015-07-31;5;1;0;0;0;2;
2015-08-01;13;3;2;5;0;17;
2015-08-02;7;1;0;3;0;8;
2015-08-03;9;0;0;2;0;5;
2015-08-04;8;0;2;1;0;0;
2015-08-05;4;0;1;0;0;3;
2015-08-06;1;1;0;0;0;3;
2015-08-07;8;1;0;1;0;6;
2015-08-08;5;0;0;0;0;3;
2015-08-09;10;1;0;1;0;8;
2015-08-10;4;0;0;0;0;4;
2015-08-11;5;4;0;0;0;5;
2015-08-12;14;0;1;2;0;3;
2015-08-13;14;3;4;6;0;12;
2015-08-14;10;2;0;2;0;4;
2015-08-15;8;1;1;2;1;6;
2015-08-16;9;1;0;6;0;4;
2015-08-17;8;0;1;1;0;4;
2015-08-18;8;2;0;2;0;4;
2015-08-19;16;2;3;4;1;10;
2015-08-20;18;0;2;5;0;15;
2015-08-21;7;1;0;0;0;12;
2015-08-22;3;1;0;2;0;2;
2015-08-23;18;3;0;3;1;15;
2015-08-24;22;2;0;4;1;11;
2015-08-25;16;4;2;4;0;14;
2015-08-26;19;2;1;7;0;11;
2015-08-27;10;3;2;1;0;4;
2015-08-28;16;1;2;0;0;9;
2015-08-29;12;2;3;3;0;8;
2015-08-30;5;0;1;1;0;7;
2015-08-31;11;0;1;2;0;4;
2015-09-01;18;3;1;3;3;12;
2015-09-02;15;1;3;6;1;14;
2015-09-03;16;6;3;4;0;11;
2015-09-04;16;5;2;3;0;14;
2015-09-05;17;1;1;4;0;17;
2015-09-06;19;4;2;4;0;11;
2015-09-07;12;6;2;2;0;18;
2015-09-08;20;3;1;5;0;11;
2015-09-09;20;2;0;4;0;14;
2015-09-10;22;5;2;4;1;6;
2015-09-11;16;4;3;4;0;13;
2015-09-12;8;3;1;3;0;5;
2015-09-13;14;0;2;2;1;21;
