DAY;HAPPINESS;ANGER;SADNESS;FEAR;DISGUST;UNCLASSIFIED
2015-07-21;15;4;1;8;0;12;
2015-07-22;19;2;1;4;1;13;
2015-07-23;21;5;2;2;0;10;
2015-07-24;13;4;1;3;1;18;
2015-07-25;22;3;2;4;0;9;
2015-07-26;19;2;1;9;0;9;
2015-07-27;17;5;0;4;0;14;
2015-07-28;24;1;1;2;1;11;
2015-07-29;22;3;1;3;0;11;
2015-07-30;14;3;1;2;2;18;
2015-07-31;18;4;0;5;0;13;
2015-08-01;16;5;3;2;0;14;
2015-08-02;18;3;3;4;5;7;
2015-08-03;21;2;3;3;2;9;
2015-08-04;15;4;1;5;0;15;
2015-08-05;22;2;2;3;0;11;
2015-08-06;16;2;4;5;0;13;
2015-08-07;14;2;0;2;1;21;
2015-08-08;14;4;3;5;2;12;
2015-08-09;15;4;2;2;0;17;
2015-08-10;20;2;1;4;1;12;
2015-08-11;14;3;3;3;2;15;
2015-08-12;18;2;2;5;1;12;
2015-08-13;20;2;2;4;1;11;
2015-08-14;23;4;5;2;0;6;
2015-08-15;24;1;2;1;0;12;
2015-08-16;24;2;2;4;0;8;
2015-08-17;17;1;1;3;3;15;
2015-08-18;12;6;1;8;1;12;
2015-08-19;19;3;1;5;0;12;
2015-08-20;22;1;2;1;1;13;
2015-08-21;17;5;1;5;3;9;
2015-08-22;27;3;0;2;0;8;
2015-08-23;15;1;0;12;0;12;
2015-08-24;19;1;1;4;1;14;
2015-08-25;19;2;1;5;1;12;
2015-08-26;14;3;1;4;1;17;
2015-08-27;11;0;0;1;0;6;
2015-08-28;15;1;2;2;0;20;
2015-08-29;21;3;8;2;0;6;
2015-08-30;21;3;1;4;0;11;
2015-08-31;15;0;2;4;0;19;
2015-09-01;17;1;3;2;1;16;
2015-09-02;18;4;0;3;2;13;
2015-09-03;21;1;1;3;1;13;
2015-09-04;19;7;2;2;1;9;
2015-09-05;19;1;2;2;0;16;
2015-09-06;17;6;3;2;0;12;
2015-09-07;17;2;1;2;1;17;
2015-09-08;20;4;1;2;1;12;
2015-09-09;16;2;2;6;1;13;
2015-09-10;24;1;0;2;0;13;
2015-09-11;11;4;1;5;0;19;
2015-09-12;19;0;0;3;1;17;
2015-09-13;12;4;0;5;1;18;
2015-09-14;20;4;1;5;0;10;
2015-09-15;13;3;0;4;1;19;
2015-09-16;13;4;2;5;1;15;
2015-09-17;14;1;0;3;1;21;
2015-09-18;14;3;3;5;0;15;
2015-09-19;17;1;0;4;1;17;
2015-09-20;19;6;1;3;0;11;
2015-09-21;21;1;1;2;0;15;
2015-09-22;23;1;0;5;1;10;
2015-09-23;28;1;0;1;0;10;
2015-09-24;16;2;2;2;3;15;
2015-09-25;20;1;0;5;5;9;
2015-09-26;17;3;1;3;0;16;
2015-09-27;19;1;4;3;0;13;
2015-09-28;15;4;1;2;1;17;
2015-09-29;18;3;0;7;1;11;
2015-09-30;17;2;1;4;0;16;
2015-10-01;23;0;0;3;3;11;
2015-10-02;19;2;0;5;2;12;
2015-10-03;17;1;1;3;1;17;
2015-10-04;18;1;1;4;1;15;
2015-10-05;21;1;2;2;1;13;
2015-10-06;26;7;0;6;1;20;
2015-10-07;21;3;2;4;0;10;
2015-10-08;22;2;1;2;0;13;
2015-10-09;16;3;3;0;0;18;
2015-10-10;21;1;0;4;0;14;
2015-10-11;17;0;2;5;0;16;
2015-10-12;22;4;2;5;0;7;
2015-10-13;23;2;2;3;1;9;
2015-10-14;21;1;2;5;0;11;
2015-10-15;20;3;2;4;0;11;
2015-10-16;17;1;1;5;0;16;
2015-10-17;20;6;1;6;0;7;
2015-10-18;19;2;0;3;0;16;
2015-10-19;16;4;1;10;2;7;
2015-10-20;18;8;2;5;0;7;
2015-10-21;17;2;4;4;2;11;
2015-10-22;21;1;0;3;2;13;
2015-10-23;20;2;2;5;0;11;
2015-10-24;10;1;2;4;0;23;
2015-10-25;15;2;1;9;1;12;
2015-10-26;21;2;2;5;2;8;
2015-10-27;24;0;2;5;1;8;
2015-10-28;25;2;1;4;0;8;
2015-10-29;17;4;1;5;0;13;
